E:\simulator-windows-64\IMG\center_2024_10_13_18_27_24_997.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_24_997.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_24_997.jpg, 0, 0, 0, 29.20362
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_099.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_099.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_099.jpg, 0, 0, 0, 28.91118
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_203.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_203.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_203.jpg, 0, 0, 0, 28.62169
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_308.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_308.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_308.jpg, 0, 0, 0, 28.33513
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_408.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_408.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_408.jpg, 0, 0, 0, 28.05143
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_511.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_511.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_511.jpg, 0, 0, 0, 27.77059
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_612.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_612.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_612.jpg, 0, 0.2585061, 0, 27.62193
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_713.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_713.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_713.jpg, 0, 0.5579181, 0, 27.83897
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_814.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_814.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_814.jpg, 0, 0.8628837, 0, 28.4163
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_25_919.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_25_919.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_25_919.jpg, 0, 1, 0, 29.48896
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_022.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_022.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_022.jpg, 0, 0.9039097, 0, 30.1815
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_125.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_125.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_125.jpg, 0, 0.9631808, 0, 30.16657
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_227.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_227.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_227.jpg, 0, 1, 0, 30.188
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_330.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_330.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_330.jpg, 0, 1, 0, 30.19053
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_432.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_432.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_432.jpg, 0, 1, 0, 30.19043
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_531.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_531.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_531.jpg, -0.2548584, 1, 0, 30.17361
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_633.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_633.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_633.jpg, -0.3573468, 1, 0, 30.17315
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_735.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_735.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_735.jpg, -0.0541545, 1, 0, 30.1904
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_837.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_837.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_837.jpg, 0, 1, 0, 30.18975
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_26_937.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_26_937.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_26_937.jpg, 0, 1, 0, 30.19025
E:\simulator-windows-64\IMG\center_2024_10_13_18_27_27_037.jpg, E:\simulator-windows-64\IMG\left_2024_10_13_18_27_27_037.jpg, E:\simulator-windows-64\IMG\right_2024_10_13_18_27_27_037.jpg, 0, 1, 0, 30.1903
